time,play,rid,uva,score_diff,score_diff_state
18:18,Sam Lewis made Layup. Assisted by Malik Thomas.,0,2,2,"[0,5)"
17:12,Flash Burton made Jumper.,2,2,0,"[0,5)"
17:01,Thijs De Ridder made Layup.,2,4,2,"[0,5)"
16:40,Dallin Hall made Three Point Jumper.,2,7,5,"[5,10)"
16:11,Antwan Wilson made Layup.,4,7,3,"[0,5)"
16:04,Johann Grunloh made Dunk. Assisted by Dallin Hall.,4,9,5,"[5,10)"
15:08,Thijs De Ridder made Layup.,4,11,7,"[5,10)"
13:44,Jacari White made Free Throw.,4,12,8,"[5,10)"
13:44,Jacari White made Free Throw.,4,13,9,"[5,10)"
13:44,Jacari White made Free Throw.,4,14,10,"[10,15)"
13:22,Flash Burton made Jumper. Assisted by Shemani Fuller.,6,14,8,"[5,10)"
13:22,Flash Burton made Free Throw.,7,14,7,"[5,10)"
13:04,Ugonna Onyenso made Jumper.,7,16,9,"[5,10)"
12:22,Chance Mallory made Layup.,7,18,11,"[10,15)"
11:55,Flash Burton made Three Point Jumper. Assisted by Caleb Smith.,10,18,8,"[5,10)"
11:22,Thijs De Ridder made Two Point Tip Shot.,10,20,10,"[10,15)"
10:47,Flash Burton made Jumper.,12,20,8,"[5,10)"
10:17,Zion Cruz made Layup. Assisted by Kristupas Kepežinskas.,14,20,6,"[5,10)"
10:07,Malik Thomas made Three Point Jumper. Assisted by Dallin Hall.,14,23,9,"[5,10)"
9:15,Sam Lewis made Free Throw.,14,24,10,"[10,15)"
8:37,Flash Burton made Free Throw.,15,24,9,"[5,10)"
8:37,Flash Burton made Free Throw.,16,24,8,"[5,10)"
8:09,Malik Thomas made Free Throw.,16,25,9,"[5,10)"
8:09,Malik Thomas made Free Throw.,16,26,10,"[10,15)"
7:55,Cole McCabe made Free Throw.,17,26,9,"[5,10)"
7:55,Cole McCabe made Free Throw.,18,26,8,"[5,10)"
7:35,Malik Thomas made Free Throw.,18,27,9,"[5,10)"
7:35,Malik Thomas made Free Throw.,18,28,10,"[10,15)"
7:18,Zion Cruz made Three Point Jumper. Assisted by Cole McCabe.,21,28,7,"[5,10)"
6:45,Johann Grunloh made Free Throw.,21,29,8,"[5,10)"
6:45,Johann Grunloh made Free Throw.,21,30,9,"[5,10)"
6:22,Caleb Smith made Free Throw.,22,30,8,"[5,10)"
6:22,Caleb Smith made Free Throw.,23,30,7,"[5,10)"
6:02,Thijs De Ridder made Jumper.,23,32,9,"[5,10)"
5:55,Kristupas Kepežinskas made Free Throw.,24,32,8,"[5,10)"
5:15,Flash Burton made Free Throw.,25,32,7,"[5,10)"
4:59,Thijs De Ridder made Layup.,25,34,9,"[5,10)"
4:17,Thijs De Ridder made Layup. Assisted by Jacari White.,25,36,11,"[10,15)"
3:13,Zion Cruz made Jumper.,27,36,9,"[5,10)"
2:09,Flash Burton made Jumper.,29,36,7,"[5,10)"
1:37,Johann Grunloh made Dunk.,29,38,9,"[5,10)"
1:22,Dallin Hall made Layup. Assisted by Chance Mallory.,29,40,11,"[10,15)"
0:58,Caleb Smith made Free Throw.,30,40,10,"[10,15)"
0:53,Chance Mallory made Free Throw.,30,41,11,"[10,15)"
0:53,Chance Mallory made Free Throw.,30,42,12,"[10,15)"
0:37,Caleb Smith made Layup. Assisted by Flash Burton.,32,42,10,"[10,15)"
